name,date,author,risk_score,severity,tactic,technique,subtechnique
Data Archive for Potential Exfil,2026/02/11,Jamal Uddin Shaikh,50,medium,Collection,T1074 - Data Staged,T1074.001 - Local Data Staging
Data Exfiltration Observed via FTP,2026/02/11,Jamal Uddin Shaikh,75,high,Exfiltration,T1020 - Automated Exfiltration,none - none
Suspicious File Written to Temp Directory,2026/02/11,Jamal Uddin Shaikh,75,high,Discovery; Discovery,T1082 - System Information Discovery; T1217 - Browser Information Discovery,none - none; none - none
Potential MSF PowerShell Payload Observed,2026/02/11,Jamal Uddin Shaikh,50,high,Execution,T1059 - Command and Scripting Interpreter,T1059.001 - PowerShell
Web Scanner Activity - Nmap and Nikto,2026/02/11,Jamal Uddin Shaikh,25,low,Discovery,T1046 - Network Service Discovery,none - none
Suspicious File Added to Registry,2026/02/11,Jamal Uddin Shaikh,75,high,Persistence,T1547 - Boot or Logon Autostart Execution,T1547.001 - Registry Run Keys / Startup Folder
Excessive Web Traffic,2026/02/11,Jamal Uddin Shaikh,25,low,Discovery,T1046 - Network Service Discovery,none - none
PowerShell Invoke-WebRequest Downloading .BAT File,2026/02/11,Jamal Uddin Shaikh,50,medium,Execution,T1059 - Command and Scripting Interpreter,T1059.001 - PowerShell
Bat files observed in HTTP Traffic on Unusual Port ,2026/02/11,Jamal Uddin Shaikh,100,medium,Execution,T1059 - Command and Scripting Interpreter,T1059.003 - Windows Command Shell
PowerShell Execution via a BAT File,2026/02/11,Jamal Uddin Shaikh,50,medium,Execution,T1059 - Command and Scripting Interpreter,T1059.001 - PowerShell
